,SMILES,bace,esol,logD
147,CC(=O)NCC1(NC(=O)CC2=C[NH]C3=CC(C)=CC=C23)CCCCC1C,,,
148,NC(=O)C1=CSC(CN(CC2=CC=CC=C2)CC(O)C2=CSC=C2)=C1,,,
149,CCC1=NC(C(=O)NC2=CC(C#N)=CN2C(C)(C)C)=NN1C1=C(Cl)C=CC=C1Cl,,,
150,CC1=NC=C(CCNC(=O)C23CCCN(CCC2)C3)S1,,,
151,COCC(COC)N1CCN(C(=O)C2(C)CC(=O)C2)CC1,,,
152,CC1=CC=CC(C)=C1NC(=O)CCCN1CCN2C(=NN=C2C(C)(C)C)C1,,,
153,CCN1C=NN=C1CN(C)C(=O)C1CC2=CC=CC(C)=C2O1,,,
154,CC1=CC=C(C(NC2=CC=C3C=CN(C)C(=O)C3=C2)C2CCC2)C=C1,,,
155,CCC(C)CCC(=O)NCC1CC(=O)C1,,,
156,COCCN1C=C(CNC(C2=CC=CC(S(C)(=O)=O)=C2)C2=CC=C(C)C=C2C)C=N1,,,
157,CCCNC(=O)CNC(=O)[C@@]1(C)CNC[C@@H]1C,,,
158,CC1=C(C(=O)N2CC3=CC=C(F)C=C3CC2C)SC(C2=C(C)C(C)=NN(C)C2=O)=N1,,,
159,CN(CCN1CCNCC1)CC1=CC=C(N2C=CN=N2)C=C1,,,
160,CCCC(NCC1=CC=C(N2C=CC(C(F)(F)F)=N2)C=C1)C(O)C1=CC=CC=C1,,,
161,CC1=CC=C(SC2(C(=O)NCC3=CC=CC=C3CN3CCC(O)C3)CCCC2)C=C1,,,
162,CC1(NC(=O)C2=N[NH]C3=CC=CC=C23)CCN(C(=O)C2=CC=NC3=C2[NH]N=N3)C1,,,
163,CCS(=O)(=O)C1=CC=C(N2CCC(NC3CCCC3C3=CC=C(C)C=C3)CC2)C=C1,,,
164,FC(F)(F)CC1CCCN1CC1=NN=C2COCCN21,,,
