Index,SMILES,bace,esol,logD
146,O=C(OCCC1CCCC1=O)C1=C(Cl)C2=CC=CC=C2[NH]1,4.4304867,-3.8396358,0.7292591
147,CC(=O)NCC1(NC(=O)CC2=C[NH]C3=CC(C)=CC=C23)CCCCC1C,4.074673,-4.6989303,1.2886026
148,NC(=O)C1=CSC(CN(CC2=CC=CC=C2)CC(O)C2=CSC=C2)=C1,4.127962,-4.808335,0.7400446
149,CCC1=NC(C(=O)NC2=CC(C#N)=CN2C(C)(C)C)=NN1C1=C(Cl)C=CC=C1Cl,4.7042027,-4.621326,0.3281534
150,CC1=NC=C(CCNC(=O)C23CCCN(CCC2)C3)S1,3.6887474,-4.6367507,0.7627422
151,COCC(COC)N1CCN(C(=O)C2(C)CC(=O)C2)CC1,3.934186,-4.6950607,0.19018456
152,CC1=CC=CC(C)=C1NC(=O)CCCN1CCN2C(=NN=C2C(C)(C)C)C1,4.1291175,-4.668011,0.022124086
153,CCN1C=NN=C1CN(C)C(=O)C1CC2=CC=CC(C)=C2O1,3.7094035,-4.3589487,0.6226185
154,CC1=CC=C(C(NC2=CC=C3C=CN(C)C(=O)C3=C2)C2CCC2)C=C1,4.5757003,-4.5378447,0.48352265
155,CCC(C)CCC(=O)NCC1CC(=O)C1,3.2317934,-3.9825602,-0.8708486
156,COCCN1C=C(CNC(C2=CC=CC(S(C)(=O)=O)=C2)C2=CC=C(C)C=C2C)C=N1,3.9321363,-5.221608,0.34280688
157,CCCNC(=O)CNC(=O)[C@@]1(C)CNC[C@@H]1C,4.1935673,-4.8187566,0.24220243
158,CC1=C(C(=O)N2CC3=CC=C(F)C=C3CC2C)SC(C2=C(C)C(C)=NN(C)C2=O)=N1,4.765917,-3.4415853,0.74426943
159,CN(CCN1CCNCC1)CC1=CC=C(N2C=CN=N2)C=C1,4.373334,-4.4490833,0.3477021
160,CCCC(NCC1=CC=C(N2C=CC(C(F)(F)F)=N2)C=C1)C(O)C1=CC=CC=C1,3.9361076,-5.3060646,1.236418
161,CC1=CC=C(SC2(C(=O)NCC3=CC=CC=C3CN3CCC(O)C3)CCCC2)C=C1,4.3965206,-5.390269,1.1166363
162,CC1(NC(=O)C2=N[NH]C3=CC=CC=C23)CCN(C(=O)C2=CC=NC3=C2[NH]N=N3)C1,3.9007325,-4.6948004,0.8539561
163,CCS(=O)(=O)C1=CC=C(N2CCC(NC3CCCC3C3=CC=C(C)C=C3)CC2)C=C1,4.294809,-5.368321,0.21993157
164,FC(F)(F)CC1CCCN1CC1=NN=C2COCCN21,3.7230282,-4.5812855,0.16051099
165,CCCC1(C)C(=O)NCCN1C(=O)[C@@H]1C[C@H]1C1=CC=CC=C1C(F)(F)F,4.2154593,-4.9705305,1.404634
166,CCOC(=O)CC(C)(C)CCN1CCOCC1CC(O)C1=CC=CC=C1,4.1165123,-5.316923,0.5492431
167,CCNC(=O)CNC1CC2(CCC2)C1,3.484114,-4.5166926,0.90908486
168,CCC(COCC1CC1)NS(=O)(=O)C1=CC(C(=O)O)=C(C)O1,4.1533537,-3.8105547,0.23907821
169,CC1=CC=CC=C1CN1CCC(N2C(=O)CC(C(F)(F)F)NC2=O)CC1,3.7896376,-4.7123027,0.57898957
170,CCN1C=CC(C(=O)NC2CN(C(=O)[C@H]3C[C@H]3C(N)=O)C2)=N1,3.6112752,-3.6179802,0.27219424
171,O=C(NC1=CC=C2C=C(Br)C=NC2=N1)C1=NC=CC=C1OCC(F)(F)F,3.7846937,-4.5659714,0.5899525
172,CC(CNC(=O)COC1=CSC=C1)N(C)C(=O)[C@@H]1CC2=CN=CN2C(=O)N1,4.2256985,-4.872431,0.42403436
173,N#CC1=CC(S(=O)(=O)N2CCCC2C2=CC=C(F)C(F)=C2)=CC=C1Cl,3.7763104,-5.2082615,0.2772163
174,COC1=CC=C(OC)C2=C1CN(C(=O)C1=CC=CC(NS(=O)(=O)C3=CC(C)=CC=C3C)=C1)CC2O,3.831883,-4.979615,1.1015564
175,COC1=CC=C(C(C)(C)NC(=O)CCOC2=CC=C(Cl)C(Cl)=C2)C=C1F,4.268761,-5.1458507,0.1414977
176,CN(CC1=N[NH]C(C(C)(C)C)=C1)C1CCCN(C2=CC=C(Cl)C(Cl)=C2)C1=O,4.487679,-5.178504,0.24321549
177,O=C1NC(C2=CC(C3=CC=CC=N3)=N[NH]2)NC2=C1SC1=CC=CC=C21,4.2287726,-3.723879,0.9035091
