,SMILES,esol,logD,bace
85,COC(=O)C1=C(NC(=O)C2=NN(C3=CC=CC=C3F)C(C)=C2)C=C(C(C)(C)C)S1,-4.662126,0.8879104,4.222437
86,CSC1=NC=C(C(=O)NCCC2=N[NH]C(C)=N2)C(O)=N1,-4.600286,0.3665763,3.6191013
87,CC(C)CC1=CC=C(C(C)C(=O)NCC(=O)C2=CC(F)=CC=C2)C=C1,-4.4336443,0.43444434,4.269192
88,CC(=O)N1CCN(C2CN(C(=O)NCC3=CC(S(=O)(=O)N(C)C)=CC=C3)CC2C)CC1,-4.807124,2.0975096,4.469573
89,CC1=CC=CC(S(=O)(=O)NC(=O)C2=CC=NN2CCC(F)(F)F)=C1F,-4.175228,1.2938267,4.015729
90,ClC1=CC(CN2CCCSCC2)=C(Cl)S1,-4.1330643,-0.5807521,3.3427238
91,CC1=NOC(C2CN(C(=O)C3NC(=O)OC3C)C2)=N1,-4.456402,0.09779767,3.0859263
92,CS(=O)(=O)CC1CCC(NS(=O)(=O)C2=COC=C2)CC1,-4.0769525,0.6802724,4.1468787
93,CC(C)OC1=CC=C(Cl)C(C(=O)N(C)CC2=CC=CC(NS(=O)(=O)C3=CC=CC=C3)=C2)=N1,-4.5282273,1.8315179,4.7753634
94,CC(C(=O)NC1=CC=C2NC(=O)N(C)CC2=C1)C1=CC=CC=C1C(F)(F)F,-4.923364,1.4840541,4.266227
95,COCC(=O)N1CCC(O)(CNC(=O)C(F)C(F)(F)F)CC1,-4.770383,1.391316,3.4491272
96,CC1=NC(C2=CC=C(CNC(=O)C3=NC=CN4C(Br)=CN=C34)C=C2)=NO1,-4.332369,0.7849588,4.3669615
97,COCC(NC(=O)C1CC(C(C)(C)C)=NO1)C(=O)N1CCOCC1,-4.1118774,0.5004758,4.0130816
98,C[C@H]1COC(C)(C)CN1C1=NC(Cl)=NC2=CC=CC=C12,-3.7810082,0.81784874,4.053057
99,CC1CCC2=C(F)C=CC=C2C1NC(=O)CSCC1CCCCO1,-4.3829813,-0.42241016,4.3743725
100,CC1=NN=C(C(C)N(C)CCN(C)C(=O)C(C)(C)CC2=CC=CC=C2)S1,-3.679364,1.2642976,4.2534266
101,COCC(NC(C)C1=C(C)N(C(C)C)N=C1)C1=CC=C(F)C(F)=C1,-4.447287,0.3515719,3.7692974
102,CSC1=CC=C(NC(=O)NC2(C3=CC=C(Cl)C(Cl)=C3)CC2)N=C1,-4.9728713,0.41913053,3.8337874
103,CN(CC1=NC2=CC=CC=C2S1)C1=NC(=O)[NH]C(Cl)=C1,-4.372349,0.26579317,3.968783
104,FC(F)CN1C=C(C=C(Cl)C2=NC3=CC=C(Br)C=C3O2)C=N1,-4.858942,0.56153136,3.8750186
105,COC1=CC(C)=CC=C1C(=O)N1CCN(C(=O)C2=N[NH]C3=C2CCCC3)CC1,-4.887022,0.06540016,4.38134
106,O=C(NC1=CC=CC=C1C(O)C(F)(F)F)C1=N[NH]C=N1,-3.9980712,1.0174584,3.8630433
107,CCC(C)(C)C1CCC2(CC1)CC2C(=O)NC1=CC=C(S(=O)(=O)CCO)C=C1C,-4.5653577,1.1669867,4.5530624
108,CC(C)(C)C1=CSC(C2CCN(CC3=NC4=CC=CN=C4S3)CC2)=N1,-4.564615,0.6518313,4.5114317
109,CCC1=NC(C(C)C)=CC=C1C(=O)NC1=NC=CC(C2=CN(C)N=C2)=N1,-4.749515,0.41451797,4.52923
110,CC(NCCC1=NN(C(C)(C)C)N=N1)C1=CC=C(OCC2=CC=CN=C2)C=C1,-4.503639,0.65198153,4.7718596
111,CC1=CC(F)=C(Br)C=C1C(=O)N1CCC=C(Cl)C1,-4.4499235,0.32321385,3.664523
112,CC1CCCN1C(=O)C1=CC=C(C2=NOC(C3=CC(N(C)C)=C4C=CC=CC4=N3)=N2)C=C1,-4.9809647,0.3148184,4.587214
113,CS(=O)(=O)N1CCC[C@@H]1CNC(C1=CC=C2C=CC=CC2=C1)C(F)(F)F,-4.1652174,1.2043074,4.1485715
114,COCC(C)(C)C(=O)N1CCC(C(C)NC(=O)C2=CC(F)=CC=C2Cl)C1,-4.2976947,0.9702892,3.6634007
115,CCC1=NC(C)=C(CN2C(C3=CC=C4OCCOC4=C3)=NN=C2N(C)CC(C)C#N)O1,-5.4202743,0.88182455,4.2240963
116,CCCC1CNCCN1C(=O)NCCN1C=CN=C1,-4.0320683,-0.20333907,4.263079
117,CC(C)N(CC1=CC=CC(F)=C1)C1=NN=C(CC2=CC=NC=C2)N1CC1CCS(=O)(=O)C1,-4.3816457,0.63126177,4.800874
